Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail,Market_Mode
2024-06-20,120834,11683,109150,11,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 6702.T(H), 6723.T(H), 8766.T(H), 7532.T(G), 9101.T(G)",GUERRILLA
2024-06-21,120742,9574,111167,12,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 6702.T(H), 6723.T(H), 8766.T(H), 7532.T(G), 9101.T(G), 9107.T(G)",GUERRILLA
2024-06-24,121051,9574,111477,12,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6981.T(H), 6702.T(H), 6723.T(H), 8766.T(H), 7532.T(G), 9101.T(G), 9107.T(G)",GUERRILLA
2024-06-25,122550,27422,95128,10,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6702.T(H), 8766.T(H), 7532.T(G), 9101.T(G), 9107.T(G)",GUERRILLA
2024-06-26,123206,27422,95783,10,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6702.T(H), 8766.T(H), 7532.T(G), 9101.T(G), 9107.T(G)",GUERRILLA
2024-06-27,123607,27422,96185,10,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6702.T(H), 8766.T(H), 7532.T(G), 9101.T(G), 9107.T(G)",GUERRILLA
2024-06-28,124606,27422,97184,10,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6702.T(H), 8766.T(H), 7532.T(G), 9101.T(G), 9107.T(G)",GUERRILLA
2024-07-01,126251,29657,96593,9,"1605.T(G), 6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6702.T(H), 8766.T(H), 7532.T(G), 9101.T(G)",GUERRILLA
2024-07-02,128035,52992,75043,7,"6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6702.T(H), 8766.T(H), 7532.T(G)",GUERRILLA
2024-07-03,128810,52992,75818,7,"6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6702.T(H), 8766.T(H), 7532.T(G)",GUERRILLA
2024-07-04,129008,52992,76016,7,"6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6702.T(H), 8766.T(H), 7532.T(G)",GUERRILLA
2024-07-05,128781,52992,75789,7,"6501.T(H), 8002.T(H), 8001.T(H), 8411.T(H), 6702.T(H), 8766.T(H), 7532.T(G)",GUERRILLA
2024-07-08,128223,66152,62071,6,"6501.T(H), 8002.T(H), 8001.T(H), 6702.T(H), 8766.T(H), 7532.T(G)",GUERRILLA
2024-07-09,128922,66152,62769,6,"6501.T(H), 8002.T(H), 8001.T(H), 6702.T(H), 8766.T(H), 7532.T(G)",GUERRILLA
2024-07-10,129524,61137,68387,7,"6501.T(H), 8002.T(H), 8001.T(H), 6702.T(H), 8766.T(H), 7532.T(G), 5713.T(G)",GUERRILLA
2024-07-11,129333,61137,68195,7,"6501.T(H), 8002.T(H), 8001.T(H), 6702.T(H), 8766.T(H), 7532.T(G), 5713.T(G)",GUERRILLA
2024-07-12,127994,61611,66383,5,"8002.T(H), 8001.T(H), 7532.T(G), 5713.T(G), 5032.T(G)",GUERRILLA
2024-07-16,127012,61611,65400,5,"8002.T(H), 8001.T(H), 7532.T(G), 5713.T(G), 5032.T(G)",GUERRILLA
2024-07-17,128212,61611,66600,5,"8002.T(H), 8001.T(H), 7532.T(G), 5713.T(G), 5032.T(G)",GUERRILLA
2024-07-18,128062,61611,66450,5,"8002.T(H), 8001.T(H), 7532.T(G), 5713.T(G), 5032.T(G)",GUERRILLA
2024-07-19,128109,47294,80814,4,"8002.T(H), 8001.T(H), 5032.T(G), 7532.T(G)",GUERRILLA
2024-07-22,126676,29940,96736,5,"8002.T(H), 8001.T(H), 5032.T(G), 7532.T(G), 3436.T(G)",GUERRILLA
2024-07-23,127313,18805,108507,6,"8002.T(H), 8001.T(H), 5032.T(G), 7532.T(G), 3436.T(G), 9107.T(G)",GUERRILLA
2024-07-24,126427,26387,100040,5,"8002.T(H), 5032.T(G), 7532.T(G), 3436.T(G), 9107.T(G)",HOMERUN
2024-07-25,124154,50670,73483,3,"8002.T(H), 5032.T(G), 4543.T(H)",HOMERUN
2024-07-26,124248,30892,93356,4,"8002.T(H), 5032.T(G), 4543.T(H), 6981.T(H)",HOMERUN
2024-07-29,126629,16244,110384,6,"8002.T(H), 5032.T(G), 4543.T(H), 6981.T(H), 7751.T(H), 6702.T(H)",HOMERUN
2024-07-30,126091,12945,113145,7,"8002.T(H), 5032.T(G), 4543.T(H), 6981.T(H), 7751.T(H), 6702.T(H), 8316.T(H)",HOMERUN
2024-07-31,124460,971,123489,9,"8002.T(H), 5032.T(G), 4543.T(H), 6981.T(H), 7751.T(H), 6702.T(H), 8316.T(H), 4568.T(H), 6857.T(H)",HOMERUN
2024-08-01,121624,15191,106432,6,"5032.T(G), 4543.T(H), 8316.T(H), 6857.T(H), 4568.T(H), 6702.T(H)",HOMERUN
2024-08-02,116465,99540,16925,2,"4568.T(H), 6857.T(H)",HOMERUN
2024-08-05,115450,69741,45709,1,7013.T(H),HOMERUN
2024-08-06,120111,63649,56461,2,"7013.T(H), 6857.T(H)",HOMERUN
2024-08-07,124145,63649,60495,2,"7013.T(H), 6857.T(H)",HOMERUN
2024-08-08,123079,50747,72331,3,"7013.T(H), 6857.T(H), 7751.T(H)",HOMERUN
2024-08-09,123245,31961,91283,4,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H)",HOMERUN
2024-08-13,128386,21253,107132,5,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H)",HOMERUN
2024-08-14,129840,21253,108586,5,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H)",HOMERUN
2024-08-15,131765,21253,110512,5,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H)",HOMERUN
2024-08-16,135955,14057,121898,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-08-19,133632,14057,119574,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-08-20,134714,14057,120656,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-08-21,132913,14057,118856,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-08-22,136427,14057,122370,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-08-23,139195,14057,125138,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-08-26,136032,14057,121974,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-08-27,138213,14057,124156,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-08-28,138049,14057,123992,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-08-29,140689,14057,126632,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-08-30,142433,14057,128375,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-09-02,146369,14057,132312,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-09-03,145722,14057,131665,6,"7013.T(H), 6857.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-09-04,137932,20120,117811,5,"7013.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-09-05,138034,20120,117913,5,"7013.T(H), 7751.T(H), 7011.T(H), 4543.T(H), 6501.T(H)",HOMERUN
2024-09-06,135683,63555,72127,4,"7751.T(H), 4543.T(H), 6501.T(H), 6702.T(H)",HOMERUN
2024-09-09,136001,69735,66266,3,"7751.T(H), 4543.T(H), 6702.T(H)",HOMERUN
2024-09-10,135206,69735,65471,3,"7751.T(H), 4543.T(H), 6702.T(H)",HOMERUN
2024-09-11,135081,69735,65346,3,"7751.T(H), 4543.T(H), 6702.T(H)",HOMERUN
2024-09-12,137429,63010,74418,4,"7751.T(H), 4543.T(H), 6702.T(H), 6501.T(H)",HOMERUN
2024-09-13,136001,50356,85644,5,"7751.T(H), 4543.T(H), 6702.T(H), 6501.T(H), 6857.T(H)",HOMERUN
2024-09-17,136219,52267,83951,6,"4543.T(H), 6702.T(H), 6501.T(H), 6857.T(H), 7751.T(H), 8001.T(H)",HOMERUN
2024-09-18,135842,52267,83574,6,"4543.T(H), 6702.T(H), 6501.T(H), 6857.T(H), 7751.T(H), 8001.T(H)",HOMERUN
2024-09-19,137583,32045,105537,7,"4543.T(H), 6702.T(H), 6501.T(H), 6857.T(H), 7751.T(H), 8001.T(H), 7267.T(H)",HOMERUN
2024-09-20,137603,32045,105558,7,"4543.T(H), 6702.T(H), 6501.T(H), 6857.T(H), 7751.T(H), 8001.T(H), 7267.T(H)",HOMERUN
2024-09-24,138918,29229,109689,8,"4543.T(H), 6702.T(H), 6501.T(H), 6857.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H)",HOMERUN
2024-09-25,137795,29229,108565,8,"4543.T(H), 6702.T(H), 6501.T(H), 6857.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H)",HOMERUN
2024-09-26,141238,11489,129749,10,"4543.T(H), 6702.T(H), 6501.T(H), 6857.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 6758.T(H), 8031.T(H)",HOMERUN
2024-09-27,145325,4698,140626,12,"4543.T(H), 6702.T(H), 6501.T(H), 6857.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 6758.T(H), 8031.T(H), 6902.T(H), 6503.T(H)",HOMERUN
2024-09-30,138920,14844,124075,10,"4543.T(H), 6702.T(H), 6857.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 6758.T(H), 8031.T(H), 6501.T(H)",HOMERUN
2024-10-01,142444,14844,127599,10,"4543.T(H), 6702.T(H), 6857.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 6758.T(H), 8031.T(H), 6501.T(H)",HOMERUN
2024-10-02,140132,30827,109305,9,"4543.T(H), 6702.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 8031.T(H), 6501.T(H), 8766.T(H)",HOMERUN
2024-10-03,141536,19079,122456,10,"4543.T(H), 6702.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 8031.T(H), 6501.T(H), 8766.T(H), 6503.T(H)",HOMERUN
2024-10-04,141958,19079,122878,10,"4543.T(H), 6702.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 8031.T(H), 6501.T(H), 8766.T(H), 6503.T(H)",HOMERUN
2024-10-07,143843,8806,135036,12,"4543.T(H), 6702.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 8031.T(H), 6501.T(H), 8766.T(H), 6503.T(H), 8306.T(H), 6758.T(H)",HOMERUN
2024-10-08,143159,8806,134353,12,"4543.T(H), 6702.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 8031.T(H), 6501.T(H), 8766.T(H), 6503.T(H), 8306.T(H), 6758.T(H)",HOMERUN
2024-10-09,143781,8806,134975,12,"4543.T(H), 6702.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 8031.T(H), 6501.T(H), 8766.T(H), 6503.T(H), 8306.T(H), 6758.T(H)",HOMERUN
2024-10-10,144672,8806,135866,12,"4543.T(H), 6702.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 8031.T(H), 6501.T(H), 8766.T(H), 6503.T(H), 8306.T(H), 6758.T(H)",HOMERUN
2024-10-11,143921,8806,135115,12,"4543.T(H), 6702.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 8031.T(H), 6501.T(H), 8766.T(H), 6503.T(H), 8306.T(H), 6758.T(H)",HOMERUN
2024-10-15,144302,8806,135495,12,"4543.T(H), 6702.T(H), 7751.T(H), 8001.T(H), 7267.T(H), 8058.T(H), 8031.T(H), 6501.T(H), 8766.T(H), 6503.T(H), 8306.T(H), 6758.T(H)",HOMERUN
